entrada,fuente,motor_direccion,motor_estado,motor_confianza,motor_advertencias,direccion_esperada,revisado,notas
Carrera 31 #7627-2 2,raw.csv,CR 31 # 7627 - 02,PARCIAL,0.78,confianza 0.78 menor al umbral 0.85 | placa de un dígito completada con cero | cruce de numero 7627 fuera de rango habitual | descartado: '2',CR 31 # 76 - 27,si,
"Calle 119 #51a-39 2do piso iglesia cristiana peniel, abrir reja",raw.csv,CL 119 # 51A - 39,OK,1.0,"descartado: '2do piso iglesia cristiana peniel, abrir reja'",CL 119 # 51A - 39,si,
Cra 48 # 124-38 Popular,raw.csv,CR 48 # 124 - 38,OK,1.0,descartado: 'popular',CR 48 # 124 - 38,si,
carrera 44 a #85-100,raw.csv,CR 44A # 85 - 100,OK,1.0,,CR 44A # 85 - 100,si,
CL 76A SUR #56C 31,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 76A SUR # 56C - 31,OK,0.97,placa sin guion,CL 76A SUR # 56C - 31,si,
calle 70#47-45 3000000000,raw.csv,CL 70 # 47 - 45,OK,1.0,descartado: '3000000000',CL 70 # 47 - 45,si,
AUTOPISTA MEDELLIN BOGITA KM 6+225,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
VEREDA ALVARDO,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
CR 56D#80 SUR 36,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 56D # 80 SUR - 36,OK,0.97,placa sin guion,CR 56D # 80 SUR - 36,si,
CR 47F#80 SUR 17,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 47F # 80 SUR - 17,OK,0.97,placa sin guion,CR 47F # 80 SUR - 17,si,
"Calle Calle 70 #31-6 Casa, 2 piso",raw.csv,CL 70 # 31 - 06,OK,0.98,"placa de un dígito completada con cero | descartado: 'casa, 2 piso'",CL 70 # 31 - 06,si,
"Cra 64c #97a - 150, Apto 219",raw.csv,CR 64C # 97A - 150,OK,1.0,descartado: 'apto 219',CR 64C # 97A - 150,si,
km 10 aproximadamente  popalito,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CL 97B SUR #50 40 BODEGA 07 LOS GUAYABOS,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 97B SUR # 50 - 40,OK,0.97,placa sin guion | descartado: 'bodega 07 los guayabos',CL 97B SUR # 50 - 40,si,
CR 49 NO 134 SUR 73 OF 103,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CR 49 # 134 SUR - 73,OK,0.97,placa sin guion | descartado: 'of 103',CR 49 # 134 SUR - 73,si,
Calle Calle 16B32-75 interior 112 Casa en el barrio santo domingo,raw.csv,CL 16B # 32 - 75,OK,1.0,descartado: 'interior 112 casa en el barrio santo domingo',CL 16B # 32 - 75,si,
CL 50 FRENTE 56-22,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 50,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente 56-22',CL 50 # 56 - 22,si,
Carrera 50 bb # 84-40 Casa primer piso,raw.csv,CR 50BB # 84 - 40,OK,1.0,descartado: 'casa primer piso',CR 50BB # 84 - 40,si,
Calle 83 #48a-25 Casa primer piso,raw.csv,CL 83 # 48A - 25,OK,1.0,descartado: 'casa primer piso',CL 83 # 48A - 25,si,
carrera 51 # 93 - 20 casa,raw.csv,CR 51 # 93 - 20,OK,1.0,descartado: 'casa',CR 51 # 93 - 20,si,
CL 81 SUR #63 52,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 81 SUR # 63 - 52,OK,0.97,placa sin guion,CL 81 SUR # 63 - 52,si,
Calle Calle103 #37a 31 Callejón del supermercado,raw.csv,CL 103 # 37A - 31,OK,0.97,placa sin guion | descartado: 'callejon del supermercado',CL 103 # 37A - 31,si,
"cra 38a #101-50 2do piso, Antioquia~~~Medellin~~~~~~cra 38a #101-50 2do piso",raw.csv,CR 38A # 101 - 50,OK,1.0,descartado: '2do piso',CR 38A # 101 - 50,si,
AUT MED-BOT KM 15+360,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),AU 15 # 3 - 60,PARCIAL,294,"contiene indicios rurales (km, vereda, finca) | el modelo ignoró texto dentro de la dirección | autopista sin nomenclatura | incertidumbre del modelo CRF | números pegados '360' ambiguos, separados como 3-60 | descartado: 'med' | descartado: 'bot km'",,si,
"Carrera Carrera 31 #107 a 86 Interior 217, al frente del súper mercado Valentina, me pueden esperar yo recojo ahí el pedido",raw.csv,CR 31 # 107A - 86,OK,0.97,"placa sin guion | descartado: 'interior 217, al frente del super mercado valentina, me pueden esperar yo recojo ahi el pedido'",CR 31 # 107A - 86,si,
Carrera Carrera 51 # 86b 16 apto 301 Apt 301,raw.csv,CR 51 # 86B - 16,OK,0.97,placa sin guion | descartado: 'apto 301 apt 301',CR 51 # 86B - 16,si,
CL 79AA SUR #54 04,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 79AA SUR # 54 - 04,OK,0.97,placa sin guion,CL 79AA SUR # 54 - 04,si,
Carrera 48b#117-30 Casa primer piso,raw.csv,CR 48B # 117 - 30,OK,1.0,descartado: 'casa primer piso',CR 48B # 117 - 30,si,
Via Santo Domingo altos de oriente 777777,raw.csv,,FALLO,0.0,,,si,
Calle 103b #48 A-10 interior  301 comando de policía santa cruz,raw.csv,CL 103B # 48A - 10,OK,1.0,descartado: 'interior 301 comando de policia santa cruz',CL 103B # 48A - 10,si,
CAS carrera 21 cll 11,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 21 X CL 11,PARCIAL,0.98,cruce de vías sin placa | texto antes de la dirección | descartado: 'cas',,si,
CRA 17 ENTRE CALLE 19 Y 20,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),CR 17,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'entre calle 19 y 20',CR 17 X CL 19,si,
Cra 49 #106- 41 Piso 1,raw.csv,CR 49 # 106 - 41,OK,1.0,descartado: 'piso 1',CR 49 # 106 - 41,si,
CL 51 CR 49,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 51 X CR 49,PARCIAL,1.0,cruce de vías sin placa,,si,
Carrera 47#112-46 Apartamento,raw.csv,CR 47 # 112 - 46,OK,1.0,descartado: 'apartamento',CR 47 # 112 - 46,si,
CL 100BB SUR #48B 82,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100BB SUR # 48B - 82,OK,0.97,placa sin guion,CL 100BB SUR # 48B - 82,si,
BELLO HATILLO KM 10+900,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Crr 51A #95-80 Casa,raw.csv,CR 51A # 95 - 80,OK,1.0,descartado: 'casa',CR 51A # 95 - 80,si,
Carrera Carrera 34 #97-32,raw.csv,CR 34 # 97 - 32,OK,1.0,,CR 34 # 97 - 32,si,
"carrera 49 # 82 54 barrio campovaldes, antioquia~~~Medellin~~~~~~carrera 49 # 82 54 barrio campovaldes",raw.csv,CR 49 # 82 - 54,OK,0.97,placa sin guion | descartado: 'barrio campovaldes',CR 49 # 82 - 54,si,
"103c #49-120 barrio santa cruz, Primer piso",raw.csv,,FALLO,0.0,,,si,
Calle 124 50e 24 Primer piso,raw.csv,CL 124 # 50E - 24,OK,0.97,placa sin guion | descartado: 'primer piso',CL 124 # 50E - 24,si,
Cr 23 n 102c 110,raw.csv,CR 23 # 102C - 110,OK,0.97,placa sin guion,CR 23 # 102C - 110,si,
AUTOPISTA NORTE KM 11+500,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Carrera Carrera 39 A # 101-03 (interior 101) Casa,raw.csv,CR 39A # 101 - 03,OK,1.0,descartado: 'casa' | descartado: '(interior 101)',CR 39A # 101 - 03,si,
CL 100C SUR #48B 61,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 100C SUR # 48B - 61,OK,0.97,placa sin guion,CL 100C SUR # 48B - 61,si,
Calle 99 #36a-24 Casa,raw.csv,CL 99 # 36A - 24,OK,1.0,descartado: 'casa',CL 99 # 36A - 24,si,
km3+600 isaza,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
Calle Calle 108A #46-33 Interior 105,raw.csv,CL 108A # 46 - 33,OK,1.0,descartado: 'interior 105',CL 108A # 46 - 33,si,
Av. Carrera 48a calle111 #50-interior 201 interior 201apartamento,raw.csv,CR 48A # 111 - 50,PARCIAL,0.8,confianza 0.8 menor al umbral 0.85 | marcador '#' antes de la placa | descartado: '-interior 201 interior 201apartamento',,si,
CR 56D#76 SUR 46,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 56D # 76 SUR - 46,OK,0.97,placa sin guion,CR 56D # 76 SUR - 46,si,
"Cra 48 # 89a 15 barrio Aranjuez, Casa con puerta de garaje",raw.csv,CR 48 # 89A - 15,OK,0.97,"placa sin guion | descartado: 'barrio aranjuez, casa con puerta de garaje'",CR 48 # 89A - 15,si,
CL 52 CON CR 49,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 52 X CR 49,PARCIAL,1.0,cruce de vías sin placa,,si,
MEDELLIN BOGOTA KM 12+500,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
Carrera Cra 44 #83-65 Casa primer piso Manrique central,raw.csv,CR 44 # 83 - 65,OK,1.0,descartado: 'casa primer piso manrique central',CR 44 # 83 - 65,si,
cra 53 #81-10 apartamento,raw.csv,CR 53 # 81 - 10,OK,1.0,descartado: 'apartamento',CR 53 # 81 - 10,si,
bello  hatillo km 21+640   las lomitas,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CR 57#75AA SUR 49,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 57 # 75AA SUR - 49,OK,0.97,placa sin guion,CR 57 # 75AA SUR - 49,si,
CR 65C#16A 44,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 65C # 16A - 44,OK,0.97,placa sin guion,CR 65C # 16A - 44,si,
"Cra 52 #89-15 Edificio torre luna apto 806, Antioquia~~~Medellin~~~~~~Cra 52 #89-15 Edificio torre luna apto 806",raw.csv,CR 52 # 89 - 15,OK,1.0,descartado: 'edificio torre luna apto 806',CR 52 # 89 - 15,si,
Calle Calle 68A # 32-55 Apartamento,raw.csv,CL 68A # 32 - 55,OK,1.0,descartado: 'apartamento',CL 68A # 32 - 55,si,
vereda yarumito- km 10 + 700,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
Calle 79 S Nro. 52 A 145,datos.gov.co/7v8m-zcmy (Base de datos PH La Estrella),CL 79 SUR # 52A - 145,OK,0.97,placa sin guion,CL 79 SUR # 52A - 145,si,
Santa cruz carrera 52 #100 - 13 Apartamento,raw.csv,CR 52 # 100 - 13,OK,0.98,texto antes de la dirección | descartado: 'santa cruz' | descartado: 'apartamento',CR 52 # 100 - 13,si,
Carrera Carrera 52b#88-22 Aranjuez Casa,raw.csv,CR 52B # 88 - 22,OK,1.0,descartado: 'aranjuez casa',CR 52B # 88 - 22,si,
Calle 118 #crr118 39AD-47  118 casa,raw.csv,CL 118 # 118 - 39,OK,0.97,placa sin guion | descartado: 'ad-47 118 casa',CL 118 # 118 - 39,si,
CRA 51 CON 50,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 51 X CL 50,PARCIAL,1.0,cruce de vías sin placa,,si,
Calle 40B Sur 37 - 24,datos.gov.co/7nv5-fy9z (Sedes administrativas Envigado),CL 40B SUR # 37 - 24,OK,1.0,,CL 40B SUR # 37 - 24,si,
Kr 37 a #107 a -22 Cerca al colegio nuevo horizonte 2,raw.csv,CR 37A # 107A - 22,OK,1.0,descartado: 'cerca al colegio nuevo horizonte 2',CR 37A # 107A - 22,si,
"Carrera 28#68B43, Antioquia~~~Medellin~~~~~~Carrera 28#68B43",raw.csv,CR 28 # 68B - 43,OK,0.97,placa sin guion,CR 28 # 68B - 43,si,
villa del socorro Santa Cruz Medellín antioquia cll105N4923 primer piso,raw.csv,CL 105 # 49 - 23,OK,0.9,texto antes de la dirección | números pegados '4923' separados como 49-23 | descartado: 'villa del socorro santa cruz medellin antioquia' | descartado: 'primer piso',CL 105 # 49 - 23,si,
CL 47D#81A 23,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 47D # 81A - 23,OK,0.97,placa sin guion,CL 47D # 81A - 23,si,
Calle Calle 69 #33-55 Tercer piso (encima del montallantas),raw.csv,CL 69 # 33 - 55,OK,1.0,descartado: 'tercer piso' | descartado: '(encima del montallantas)',CL 69 # 33 - 55,si,
CL 95 SUR #56 111,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 95 SUR # 56 - 111,OK,0.97,placa sin guion,CL 95 SUR # 56 - 111,si,
VEREDA EL NORAL SECTOR EL 20,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),,FALLO,0.0,,,si,
CRA 28 N- 43-88,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 28 # 43 - 88,OK,0.95,guion entre vía y cruce,CR 28 # 43 - 88,si,
carrera 48b#110-83 En la cuadra del D1,raw.csv,CR 48B # 110 - 83,OK,1.0,descartado: 'en la cuadra del d1',CR 48B # 110 - 83,si,
Cra. 50a # 89a8 Aranjuez primer piso,raw.csv,CR 50A # 89A - 08,OK,0.95,placa sin guion | placa de un dígito completada con cero | descartado: 'aranjuez primer piso',CR 50A # 89A - 08,si,
CR 42 NRO. 60 SUR 60 CA 242,datos.gov.co/8xhn-2dp9 (Empresas de construcción del Aburrá Sur),CR 42 # 60 SUR - 60,OK,0.97,placa sin guion | descartado: 'ca 242',CR 42 # 60 SUR - 60,si,
Carrera Carrera 45#100-46 Casa interior 202,raw.csv,CR 45 # 100 - 46,OK,1.0,descartado: 'casa interior 202',CR 45 # 100 - 46,si,
Carrera Carrera 51 # 91-34 Cerca de la parroquia san Cayetano,raw.csv,CR 51 # 91 - 34,OK,1.0,descartado: 'cerca de la parroquia san cayetano',CR 51 # 91 - 34,si,
Carrera 30 #111-142 interior 1702,raw.csv,CR 30 # 111 - 142,OK,1.0,descartado: 'interior 1702',CR 30 # 111 - 142,si,
EL BALLO VIA LA CHORRERA,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
cll109a#50a100,raw.csv,CL 109A # 50A - 100,OK,0.97,placa sin guion,CL 109A # 50A - 100,si,
CL 60 SUR #48 62 SABANETA,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 60 SUR # 48 - 62,OK,0.97,placa sin guion | descartado: 'sabaneta',CL 60 SUR # 48 - 62,si,
Clle 72 #99-58 Casa,raw.csv,CL 72 # 99 - 58,OK,1.0,descartado: 'casa',CL 72 # 99 - 58,si,
CR 50#38 35 MEDELLIN,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 38 - 35,OK,0.97,placa sin guion | descartado: 'medellin',CR 50 # 38 - 35,si,
CRA 22b 95-17 primer piso,raw.csv,CR 22B # 95 - 17,OK,1.0,descartado: 'primer piso',CR 22B # 95 - 17,si,
Calle 68 #39 A 24 Piso 2,raw.csv,CL 68 # 39A - 24,OK,0.97,placa sin guion | descartado: 'piso 2',CL 68 # 39A - 24,si,
Calle 104D #50A62 Piso,raw.csv,CL 104D # 50A - 62,OK,0.97,placa sin guion | descartado: 'piso',CL 104D # 50A - 62,si,
VEREDA EL ECO   KM 4 + 50 TR 6205,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),TV 62 # 5,PARCIAL,0.9,"contiene indicios rurales (km, vereda, finca) | dirección sin placa | texto antes de la dirección | números pegados '6205' separados como 62-05 | descartado: 'vereda el eco km 4 + 50'",,si,
106 27b169 casa,raw.csv,,FALLO,0.0,,,si,
CR 51 FRENTE AL 47 A 53,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 51,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'frente al 47 a 53',CR 51 # 47A – 53,si,
Calle Calle 76 49-49 301,raw.csv,CL 76 # 49 - 49,OK,1.0,descartado: '301',CL 76 # 49 - 49,si,
Calle 67#56A-60 Unidad faro del rio apartamento 2704,raw.csv,CL 67 # 56A - 60,OK,1.0,descartado: 'unidad faro del rio apartamento 2704',CL 67 # 56A - 60,si,
CL 49 SUR #45A 300 OFICINA 1607 ENVIGADO,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 49 SUR # 45A - 300,OK,0.97,placa sin guion | descartado: 'oficina 1607 envigado',CL 49 SUR # 45A - 300,si,
CALLE 42 A 56-1378,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 42A # 56 - 1378,PARCIAL,1.0,placa '1378' con más de 3 dígitos,,si,
CR 50#77 SUR 194,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 77 SUR - 194,OK,0.97,placa sin guion,CR 50 # 77 SUR - 194,si,
cra 45 #102-37,raw.csv,CR 45 # 102 - 37,OK,1.0,,CR 45 # 102 - 37,si,
Calle Cll 103 segundo piso Calle Cll 103 segundo piso #50c-48 interior 201 Referencia: Segundo piso,raw.csv,CL 103,PARCIAL,1.0,dirección sin cruce ni placa | descartado: 'segundo piso calle cll 103 segundo piso #50c-48 interior 201 referencia: segundo piso',CL 103 # 50C - 48,si,
CR 54B#79 SUR 09,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 54B # 79 SUR - 09,OK,0.97,placa sin guion,CR 54B # 79 SUR - 09,si,
CR 55#83C SUR  116,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 55 # 83C SUR - 116,OK,0.97,placa sin guion,CR 55 # 83C SUR - 116,si,
CR 48C#100 SUR 72 BODEGA 14,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 48C # 100 SUR - 72,OK,0.97,placa sin guion | descartado: 'bodega 14',CR 48C # 100 SUR - 72,si,
Calle Calle 105 cr49-45 Apartamento,raw.csv,CL 105 # 49 - 45,OK,1.0,descartado: 'apartamento',CL 105 # 49 - 45,si,
Carrera 49b #87-78 Primer piso,raw.csv,CR 49B # 87 - 78,OK,1.0,descartado: 'primer piso',CR 49B # 87 - 78,si,
"Calle 107b 27b-20 Santo domingo La avanzada Calle 107b 23a-26 
Santo domingo
La avanzada",raw.csv,CL 107B # 27B - 20,PARCIAL,1.0,el texto contiene varias direcciones | descartado: 'santo domingo la avanzada calle 107b 23a-26 santo domingo la avanzada',,si,
Cr 36 bb cl 102 c -74(interior 302) Apartamento,raw.csv,CR 36BB # 102C - 74,OK,1.0,descartado: 'apartamento' | descartado: '(interior 302)',CR 36BB # 102C - 74,si,
CRA 55 CON 50,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CR 55 X CL 50,PARCIAL,1.0,cruce de vías sin placa,,si,
Calle Calle 112#49B 51 Segundo piso,raw.csv,CL 112 # 49B - 51,OK,0.97,placa sin guion | descartado: 'segundo piso',CL 112 # 49B - 51,si,
Calle Calle 112#51a-128 Casa segundo piso,raw.csv,CL 112 # 51A - 128,OK,1.0,descartado: 'casa segundo piso',CL 112 # 51A - 128,si,
calle 95# 39-10 callejón callejón ultima casa,raw.csv,CL 95 # 39 - 10,OK,1.0,descartado: 'callejon callejon ultima casa',CL 95 # 39 - 10,si,
Calle CL111ACR38A15 #108-108 apartamento,raw.csv,CL 111A # 38A - 15,OK,0.97,placa sin guion | descartado: '#108-108 apartamento',CL 111A # 38A - 15,si,
Carrera Crra 50b #98 a 8 por el colegio republica Casa 2 piso,raw.csv,CR 50B # 98A - 08,OK,0.95,placa sin guion | placa de un dígito completada con cero | descartado: 'por el colegio republica casa 2 piso',CR 50B # 98A - 08,si,
Carrera 23 #101 ab 15-115 casa,raw.csv,CR 23 # 101AB - 15,PARCIAL,0.97,"varias placas; se toma la primera, resto: 115 | placa sin guion | descartado: 'casa'",,si,
CL 99 SUR #57 85,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 99 SUR # 57 - 85,OK,0.97,placa sin guion,CL 99 SUR # 57 - 85,si,
"Carrera Carrera 49 79-35, piso 4",raw.csv,CR 49 # 79 - 35,OK,1.0,descartado: 'piso 4',CR 49 # 79 - 35,si,
Calle 102#29-13interior 107 Por el colegio la escuelita,raw.csv,CL 102 # 29 - 13,OK,1.0,descartado: 'interior 107 por el colegio la escuelita',CL 102 # 29 - 13,si,
Calle 72a #45-84 piso 3,raw.csv,CL 72A # 45 - 84,OK,1.0,descartado: 'piso 3',CL 72A # 45 - 84,si,
Calle 84 AA # 22 A 17 Cancha de bello oriente,raw.csv,CL 84AA # 22A - 17,OK,0.97,placa sin guion | descartado: 'cancha de bello oriente',CL 84AA # 22A - 17,si,
Av. Carrera 40 #92-55 manrique la salle tercer piso,raw.csv,CR 40 # 92 - 55,OK,1.0,descartado: 'manrique la salle tercer piso',CR 40 # 92 - 55,si,
88 # 57-26 Moravia Int 301 Interior 301,raw.csv,,FALLO,0.0,,,si,
Calle 120 Calle 120 #50b-37 Tercer piso Referencia: Casa tercer piso,raw.csv,CL 120 # 50B - 37,OK,1.0,descartado: 'calle 120' | descartado: 'tercer piso referencia: casa tercer piso',CL 120 # 50B - 37,si,
CR 51#96 SUR  50 APTO.711,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 51 # 96 SUR - 50,OK,0.97,placa sin guion | descartado: 'apto.711',CR 51 # 96 SUR - 50,si,
Calle 82 31A 124 interior 201 Segundo piso,raw.csv,CL 82 # 31A - 124,OK,0.97,placa sin guion | descartado: 'interior 201 segundo piso',CL 82 # 31A - 124,si,
CR 50#79 SUR 101 LOCAL 123 STOCK SUR,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 79 SUR - 101,OK,0.97,placa sin guion | descartado: 'local 123 stock sur',CR 50 # 79 SUR - 101,si,
don matias hatillo km 29+000,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CR 49E#96 SUR  155 BODEGA 4,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 49E # 96 SUR - 155,OK,0.97,placa sin guion | descartado: 'bodega 4',CR 49E # 96 SUR - 155,si,
CR 50#96 SUR 280 BODEGA 13 PINAR DEL RIO,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 50 # 96 SUR - 280,OK,0.97,placa sin guion | descartado: 'bodega 13 pinar del rio',CR 50 # 96 SUR - 280,si,
Cra 29 #108-66 Medellín Antioquia popular 1 la torre,raw.csv,CR 29 # 108 - 66,OK,1.0,descartado: 'medellin antioquia popular 1 la torre',CR 29 # 108 - 66,si,
Calle 71A Calle 71A 37-16 201 Referencia: Detrás del colegio Manuela Beltrán de el parque Gaitán,raw.csv,CL 71A # 37 - 16,OK,1.0,descartado: 'calle 71a' | descartado: '201 referencia: detras del colegio manuela beltran de el parque gaitan',CL 71A # 37 - 16,si,
CL 73 SUR #63AA 185 TO 1 AP 1704,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CL 73 SUR # 63AA - 185,OK,0.97,placa sin guion | descartado: 'to 1 ap 1704',CL 73 SUR # 63AA - 185,si,
"Calle Calle 101 #50c - 137 Santa cruz Casa, primer piso.",raw.csv,CL 101 # 50C - 137,OK,1.0,"descartado: 'santa cruz casa, primer piso'",CL 101 # 50C - 137,si,
Calle Calle 121#50b42 3 piso,raw.csv,CL 121 # 50B - 42,OK,0.97,placa sin guion | descartado: '3 piso',CL 121 # 50B - 42,si,
Cra 52#92-89 interior 130 Aranjuez piso 1(si no estoy dejar arriba en la esquina autoservicio la 52),raw.csv,CR 52 # 92 - 89,OK,1.0,descartado: 'interior 130 aranjuez piso 1' | descartado: '(si no estoy dejar arriba en la esquina autoservicio la 52)',CR 52 # 92 - 89,si,
"Manrique central, calle 80#42-28",raw.csv,CL 80 # 42 - 28,OK,0.98,texto antes de la dirección | descartado: 'manrique central',CL 80 # 42 - 28,si,
"Calle Calle 102 #49 c 30 primer piso, puerta garaje rojo",raw.csv,CL 102 # 49C - 30,OK,0.97,"placa sin guion | descartado: 'primer piso, puerta garaje rojo'",CL 102 # 49C - 30,si,
Carrera Carrera 36 A A #89A 60 INT 108 Barrio San Bl Casa color azul al terminar la cuadra,raw.csv,CR 36AA # 89A - 60,OK,0.97,placa sin guion | descartado: 'int 108 barrio san bl casa color azul al terminar la cuadra',CR 36AA # 89A - 60,si,
CALLE 50 #62-138,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 50 # 62 - 138,OK,1.0,,CL 50 # 62 - 138,si,
Carrera 50a #92-50 Apartamento 301,raw.csv,CR 50A # 92 - 50,OK,1.0,descartado: 'apartamento 301',CR 50A # 92 - 50,si,
Carrera 48 46 sur 150 Int Inder,datos.gov.co/7nv5-fy9z (Sedes administrativas Envigado),CR 48 # 46 SUR - 150,OK,0.97,placa sin guion | descartado: 'int inder',CR 48 # 46 SUR - 150,si,
Calle Calle 83a#39-174 Manríque santa ines,raw.csv,CL 83A # 39 - 174,OK,1.0,descartado: 'manrique santa ines',CL 83A # 39 - 174,si,
"Calle 99a#22a-103 tienda, don salomon, al frente de la cancha carpinelo",raw.csv,CL 99A # 22A - 103,OK,1.0,"descartado: 'tienda, don salomon, al frente de la cancha carpinelo'",CL 99A # 22A - 103,si,
calle 119 carrera 43aa 01 interios 223,raw.csv,CL 119 # 43AA - 01,OK,0.97,placa sin guion | descartado: 'interios 223',CL 119 # 43AA - 01,si,
